KAYIT SIRA,ENDEKS KODU,ENDEKSLER,ENDEKSLERIN INGILIZCE ISIMLERI,KUR TURU,TARIH,KAPANIS,ACILIS,EN DUSUK,EN YUKSEK
160,XSDNZ,BIST DENIZLI,BIST DENIZLI,TRY,30/10/2020,2604.99,2577.91,2540.2,2678.71
161,XSDNZ_CFNPTLUS,BIST DENIZLI (ABD DOLARI),BIST DENIZLI (USD),USD,30/10/2020,1824.54,1824.54,1824.54,1824.54
162,XSDNZ_CFNPTLER,BIST DENIZLI (EURO),BIST DENIZLI (EURO),EUR,30/10/2020,1831.81,1831.81,1831.81,1831.81
163,XSIST,BIST ISTANBUL,BIST ISTANBUL,TRY,30/10/2020,1185.25,1188.17,1167.21,1192.42
164,XSIST_CFNPTLUS,BIST ISTANBUL (ABD DOLARI),BIST ISTANBUL (USD),USD,30/10/2020,830.15,830.15,830.15,830.15
165,XSIST_CFNPTLER,BIST ISTANBUL (EURO),BIST ISTANBUL (EURO),EUR,30/10/2020,833.46,833.46,833.46,833.46
166,XSIZM,BIST IZMIR,BIST IZMIR,TRY,30/10/2020,2700.4,2686.5,2661.99,2742.25
167,XSIZM_CFNPTLUS,BIST IZMIR (ABD DOLARI),BIST IZMIR (USD),USD,30/10/2020,1891.37,1891.37,1891.37,1891.37
168,XSIZM_CFNPTLER,BIST IZMIR (EURO),BIST IZMIR (EURO),EUR,30/10/2020,1898.91,1898.91,1898.91,1898.91
169,XSKAY,BIST KAYSERI,BIST KAYSERI,TRY,30/10/2020,6278.04,6263.1,6159.48,6378.1
170,XSKAY_CFNPTLUS,BIST KAYSERI (ABD DOLARI),BIST KAYSERI (USD),USD,30/10/2020,4397.17,4397.17,4397.17,4397.17
171,XSKAY_CFNPTLER,BIST KAYSERI (EURO),BIST KAYSERI (EURO),EUR,30/10/2020,4414.69,4414.69,4414.69,4414.69
172,XSKOC,BIST KOCAELI,BIST KOCAELI,TRY,30/10/2020,2636.94,2599.62,2550.94,2636.94
173,XSKOC_CFNPTLUS,BIST KOCAELI (ABD DOLARI),BIST KOCAELI (USD),USD,30/10/2020,1846.92,1846.92,1846.92,1846.92
174,XSKOC_CFNPTLER,BIST KOCAELI (EURO),BIST KOCAELI (EURO),EUR,30/10/2020,1854.28,1854.28,1854.28,1854.28
175,XSKON,BIST KONYA,BIST KONYA,TRY,30/10/2020,2099.1,2061.82,2006.07,2134.59
176,XSKON_CFNPTLUS,BIST KONYA (ABD DOLARI),BIST KONYA (USD),USD,30/10/2020,1470.22,1470.22,1470.22,1470.22
177,XSKON_CFNPTLER,BIST KONYA (EURO),BIST KONYA (EURO),EUR,30/10/2020,1476.07,1476.07,1476.07,1476.07
178,XSTKR,BIST TEKIRDAG,BIST TEKIRDAG,TRY,30/10/2020,8107.37,8401.8,7938.76,8401.8
179,XSTKR_CFNPTLUS,BIST TEKIRDAG (ABD DOLARI),BIST TEKIRDAG (USD),USD,30/10/2020,5678.44,5678.44,5678.44,5678.44
180,XSTKR_CFNPTLER,BIST TEKIRDAG (EURO),BIST TEKIRDAG (EURO),EUR,30/10/2020,5701.06,5701.06,5701.06,5701.06
